Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
阿鲁巴,ABW,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
,AFE,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15106741,15142775.11,15142774.17,15142743.93,15142711.6,15142728.54,15142740.86,15142735.45,15142981.03,15162047.53,15162015.41,15162001.96,15162055.54,15162042.92,15162037.28,15162043.38,15162047.12,15162005.87,15162005.87
阿富汗,AFG,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860
,AFW,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166270,9166260,9166260,9166260
安哥拉,AGO,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
阿尔巴尼亚,ALB,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750
安道尔共和国,AND,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
阿拉伯联盟国家,ARB,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796798.9,13796818.9,13796818.9,13796818.9,13796818.9,13796818.9,13796818.9,13796818.9,13796818.9,13796818.9,13796818.9,13796818.9,13796828.9,13796838.9,13796848.9,13796848.9,13796858.9,13796868.9,13794328.9,13794330.9,13794335.9,13166528.9,13166340.9,13166221.9,13166229.9,13166230.9,13166231.9,13166231.9,13166232.9,13166234.9,13166242.9
阿拉伯联合酋长国,ARE,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9
阿根廷,ARG,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400
亚美尼亚,ARM,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740
美属萨摩亚,ASM,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
安提瓜和巴布达,ATG,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
澳大利亚,AUS,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220
奥地利,AUT,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879
阿塞拜疆,AZE,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600
布隆迪,BDI,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830
比利时,BEL,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530
贝宁,BEN,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760
布基纳法索,BFA,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220
孟加拉国,BGD,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,147630,147630,147630,147977,147570,147570,147570,147570
保加利亚,BGR,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000
巴林,BHR,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,710,710,710,710,710,710,710,710,710,710,710,720,730,740,740,750,760,760,762,767,770,770,771,778,779,780,780,783,785,790
巴哈马,BHS,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880
波斯尼亚和黑塞哥维那,BIH,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210
白俄罗斯,BLR,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207610,207630
伯利兹,BLZ,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970
百慕大,BMU,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,4290,4290,4290,4290,4290,4290,4290,4290,4290
玻利维亚,BOL,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580
巴西,BRA,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770
巴巴多斯,BRB,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
文莱达鲁萨兰国,BRN,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770
不丹,BTN,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,40077,40077,40077,40077,40077,40077,40077,40077,40077,40077,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,38390,38390,38390,38390
博茨瓦纳,BWA,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730
中非共和国,CAF,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980
加拿大,CAN,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,15634410
中歐和波羅的海,CEB,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1134934,1135004,1135004,1134934,1134934,1134934,1134934,1134934,1134988,1134994,1134994,1134984,1134984,1134989,1134994,1134991,1134990,1134990,1166998,1166978,1166978,1166978,1166783,1166797,1166797.04,1166811.01,1166811.04
瑞士,CHE,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7,41290.7
海峡群岛,CHI,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
